50.00,Food,2025-01-03,Grocery run at Walmart
12.50,Food,2025-01-05,Chipotle lunch
8.99,Entertainment,2025-01-06,Netflix subscription
45.00,Transport,2025-01-07,Gas fill-up
120.00,Utilities,2025-01-08,Electric bill
15.00,Food,2025-01-10,Starbucks coffee runs
22.00,Food,2025-01-12,Thai takeout
60.00,Shopping,2025-01-14,New shirt at Target
35.00,Transport,2025-01-15,Uber rides
900.00,Rent,2025-01-01,January rent
9.99,Entertainment,2025-01-18,Spotify premium
75.00,Food,2025-01-20,Weekly groceries
18.00,Food,2025-01-22,Pizza delivery
40.00,Health,2025-01-23,Pharmacy — vitamins
55.00,Transport,2025-02-01,Gas fill-up
900.00,Rent,2025-02-01,February rent
65.00,Food,2025-02-03,Grocery run
14.00,Food,2025-02-05,Lunch at campus cafe
8.99,Entertainment,2025-02-06,Netflix subscription
9.99,Entertainment,2025-02-06,Spotify premium
130.00,Utilities,2025-02-07,Electric and water bill
28.00,Food,2025-02-09,Sushi dinner
45.00,Shopping,2025-02-12,Amazon order
20.00,Transport,2025-02-14,Uber to airport
85.00,Food,2025-02-17,Grocery run
12.00,Food,2025-02-19,Chipotle
30.00,Health,2025-02-20,Gym day pass
50.00,Transport,2025-02-22,Gas fill-up
900.00,Rent,2025-03-01,March rent
70.00,Food,2025-03-03,Grocery run
8.99,Entertainment,2025-03-06,Netflix subscription
9.99,Entertainment,2025-03-06,Spotify premium
115.00,Utilities,2025-03-08,Electric bill
42.00,Transport,2025-03-09,Gas fill-up
25.00,Food,2025-03-11,Dinner out with friends
18.50,Food,2025-03-13,Lunch
95.00,Shopping,2025-03-15,Clothes shopping
60.00,Health,2025-03-17,Doctor copay
35.00,Food,2025-03-20,Grocery top-up
15.00,Entertainment,2025-03-23,Movie tickets
900.00,Rent,2025-04-01,April rent
82.00,Food,2025-04-03,Weekly groceries
8.99,Entertainment,2025-04-06,Netflix subscription
9.99,Entertainment,2025-04-06,Spotify premium
125.00,Utilities,2025-04-08,Electric and water bill
48.00,Transport,2025-04-10,Gas fill-up
32.50,Food,2025-04-12,Dinner with friends
210.00,Shopping,2025-04-15,Desk chair for home office
75.00,Health,2025-04-18,Dental copay
120.00,Transport,2025-04-22,Weekend train tickets
900.00,Rent,2025-05-01,May rent
68.00,Food,2025-05-03,Weekly groceries
8.99,Entertainment,2025-05-06,Netflix subscription
9.99,Entertainment,2025-05-06,Spotify premium
105.00,Utilities,2025-05-08,Electric and water bill
44.00,Transport,2025-05-11,Gas fill-up
24.00,Food,2025-05-14,Lunch with classmates
38.00,Shopping,2025-05-18,Household supplies
35.00,Health,2025-05-21,Prescription refill
900.00,Rent,2025-06-01,June rent
78.00,Food,2025-06-03,Weekly groceries
8.99,Entertainment,2025-06-06,Netflix subscription
9.99,Entertainment,2025-06-06,Spotify premium
145.00,Utilities,2025-06-08,Summer electricity bill
52.00,Transport,2025-06-10,Gas fill-up
27.00,Food,2025-06-13,Dinner takeout
460.00,Shopping,2025-06-16,Laptop monitor purchase
95.00,Health,2025-06-20,Urgent care copay
85.00,Entertainment,2025-06-24,Concert ticket
900.00,Rent,2025-07-01,July rent
73.00,Food,2025-07-03,Weekly groceries
8.99,Entertainment,2025-07-06,Netflix subscription
9.99,Entertainment,2025-07-06,Spotify premium
155.00,Utilities,2025-07-08,Summer electricity bill
46.00,Transport,2025-07-11,Gas fill-up
31.00,Food,2025-07-14,Dinner with friends
65.00,Shopping,2025-07-18,Summer clothes
40.00,Health,2025-07-22,Pharmacy purchase
55.00,Entertainment,2025-07-26,Movie and dinner
900.00,Rent,2025-08-01,August rent
76.00,Food,2025-08-03,Weekly groceries
8.99,Entertainment,2025-08-06,Netflix subscription
9.99,Entertainment,2025-08-06,Spotify premium
138.00,Utilities,2025-08-08,Electric and water bill
49.00,Transport,2025-08-11,Gas fill-up
26.00,Food,2025-08-14,Lunch on campus
42.00,Shopping,2025-08-18,School supplies
30.00,Health,2025-08-21,Gym membership
18.00,Entertainment,2025-08-25,Movie ticket
